file,category,pages,chars,cjk_pct,chars_per_page,text_tokens,image_tokens,ratio,route,kind
govinfo__BILLS-117hr3684enr.pdf,legislation,1039,2836193,0.0,2729.7333974975936,709308,2019816,2.8475866619296553,poppler,text
govinfo__BILLS-117hr5376enr.pdf,legislation,273,748571,0.0,2742.018315018315,187211,530712,2.834833423249702,poppler,text
loc__6LM5MPDEKTK4FAVUBSU5HZOLO33XZOV6.pdf,gov-document,2,2194,0.0,1097.0,548,1912,3.489051094890511,api,text
loc__73KIZM2KPVDJHMKWM5X36DBUKAOOCWZ4.pdf,gov-document,1,2273,0.0,2273.0,568,1250,2.2007042253521125,api,text
loc__FBTKGVAADTR36EKHKLGBXAUK5DI2LT5Z.pdf,gov-document,1,0,0.0,0.0,0,638,0.0,api,scan
loc__IMJ4MPPYAOJ3IK6EEI3IDHS4IKZ5WFXT.pdf,gov-document,143,506966,0.0,3545.2167832167834,126741,177320,1.399073701485707,poppler,text
loc__PRMLNHO3YK4QH2BBAQPVLO4HWIQBTRDS.pdf,gov-document,2,2384,0.0,1192.0,596,1960,3.2885906040268456,api,text
loc__PV2UUKY4MEWQFTITQRUFTBMJY6ONPUNW.pdf,gov-document,1,1065,0.0,1065.0,266,948,3.56390977443609,api,text
loc__QSPE3BHAI3DOO552RNZ5WXPJVIWAZ4LT.pdf,gov-document,83,692750,0.0,8346.385542168675,173187,102920,0.5942709325757707,poppler,text
loc__ZZLARWOCNXAHCS25AGWDA2UPFRV3G6TU.pdf,gov-document,2,2213,0.0,1106.5,553,1829,3.3074141048824592,api,text
ndc__population-projection-2024.pdf,cjk-chinese,110,166699,12.761324303085201,1515.4454545454546,52720,138600,2.6289833080424887,poppler,text
olmocr__arxiv_math__2503.02004_pg9.pdf.pdf,single-page/arxiv_math,1,3719,0.0,3719.0,929,1611,1.7341227125941874,api,text
olmocr__arxiv_math__2503.03762_pg1.pdf.pdf,single-page/arxiv_math,1,2873,0.0,2873.0,718,1356,1.8885793871866294,api,text
olmocr__arxiv_math__2503.03855_pg5.pdf.pdf,single-page/arxiv_math,1,2954,0.0,2954.0,738,1376,1.8644986449864498,api,text
olmocr__headers_footers__038704b29be26b6d45233e5e11218273d372957e_page_2.pdf.pdf,single-page/headers_footers,1,2688,0.0,2688.0,672,1310,1.9494047619047619,api,text
olmocr__headers_footers__05d9fd5d99ac557f1dfa74c097f7c1cbc9b34be0_page_6.pdf.pdf,single-page/headers_footers,1,934,0.0,934.0,233,753,3.2317596566523603,api,text
olmocr__long_tiny_text__10a_pg1.pdf.pdf,single-page/long_tiny_text,1,0,0.0,0.0,0,2356,0.0,api,scan
olmocr__long_tiny_text__14a_pg1.pdf.pdf,single-page/long_tiny_text,1,0,0.0,0.0,0,2728,0.0,api,scan
olmocr__multi_column__0083fb2109e58be50aec2eca07fcbfe1230b_page_1_pg1.pdf.pdf,single-page/multi_column,1,5270,0.0,5270.0,1317,1955,1.4844343204252088,api,text
olmocr__multi_column__03ccfe8bb1096e76dd5c186c3ae24d5fe8ec_pg1.pdf.pdf,single-page/multi_column,1,3192,0.0,3192.0,798,1436,1.799498746867168,api,text
olmocr__old_scans__1.pdf.pdf,single-page/old_scans,1,0,0.0,0.0,0,4758,0.0,api,scan
olmocr__old_scans__2.pdf.pdf,single-page/old_scans,1,0,0.0,0.0,0,4784,0.0,api,scan
olmocr__old_scans__3.pdf.pdf,single-page/old_scans,1,0,0.0,0.0,0,4784,0.0,api,scan
olmocr__old_scans_math__1_pg10.pdf.pdf,single-page/old_scans_math,1,0,0.0,0.0,0,216,0.0,api,scan
olmocr__old_scans_math__2_pg39.pdf.pdf,single-page/old_scans_math,1,682,0.0,682.0,170,368,2.164705882352941,api,text
olmocr__tables__0486cc2ec11e21b6a8280ca71073ca28ea3f_pg1.pdf.pdf,single-page/tables,1,0,0.0,0.0,20,702,35.1,api,scan
olmocr__tables__1529b213d5db3acb5254d34f81d18e060f28_pg1.pdf.pdf,single-page/tables,1,3044,0.0,3044.0,761,1399,1.838370565045992,api,text
soumu__n1110000.pdf,cjk-japanese,2,2301,67.40547588005215,1150.5,1380,2744,1.9884057971014493,api,text
soumu__n1210000.pdf,cjk-japanese,14,12092,70.98081376116441,863.7142857142857,7479,17640,2.358604091456077,poppler,text
soumu__n2110000.pdf,cjk-japanese,11,13237,48.03203142706051,1203.3636363636363,6610,13860,2.096822995461422,poppler,text
zenodo__22069734.pdf,slide-deck,26,8596,0.0,330.61538461538464,2149,32240,15.002326663564448,poppler,text
zenodo__22070195.pdf,slide-deck,21,9438,0.0,449.42857142857144,2359,26040,11.038575667655786,poppler,text
zenodo__22070313.pdf,slide-deck,16,5966,0.0,372.875,1492,19840,13.297587131367292,poppler,text
zenodo__22072300.pdf,slide-deck,9,17095,0.0,1899.4444444444443,4273,10411,2.43646150245729,api,text
zenodo__22072701.pdf,slide-deck,32,8011,0.0,250.34375,2003,41472,20.70494258612082,poppler,text
